Repository,Date,Stars
apache/hadoop,Wed Sep 03 2014 21:47:08 GMT+0400 (Москва, стандартное время),0
apache/hadoop,Sun Aug 21 2016 23:27:10 GMT+0300 (Москва, стандартное время),1890
apache/hadoop,Fri May 12 2017 12:29:57 GMT+0300 (Москва, стандартное время),2850
apache/hadoop,Mon Nov 06 2017 17:06:44 GMT+0300 (Москва, стандартное время),3810
apache/hadoop,Sun Jan 28 2018 05:14:50 GMT+0300 (Москва, стандартное время),4800
apache/hadoop,Tue Apr 03 2018 20:12:41 GMT+0300 (Москва, стандартное время),5760
apache/hadoop,Fri Jun 15 2018 15:16:34 GMT+0300 (Москва, стандартное время),6720
apache/hadoop,Sun Jan 13 2019 18:56:09 GMT+0300 (Москва, стандартное время),7710
apache/hadoop,Tue Jul 23 2019 04:47:28 GMT+0300 (Москва, стандартное время),8670
apache/hadoop,Thu Mar 26 2020 12:31:39 GMT+0300 (Москва, стандартное время),9630
apache/hadoop,Fri Dec 18 2020 05:13:03 GMT+0300 (Москва, стандартное время),10620
apache/hadoop,Mon Oct 25 2021 21:26:53 GMT+0300 (Москва, стандартное время),11580
apache/hadoop,Fri Aug 26 2022 12:18:15 GMT+0300 (Москва, стандартное время),12540
apache/hadoop,Sun Jul 30 2023 04:05:32 GMT+0300 (Москва, стандартное время),13530
apache/hadoop,Mon Jul 01 2024 15:45:32 GMT+0300 (Москва, стандартное время),14490
apache/hadoop,Mon Jul 15 2024 22:40:10 GMT+0300 (Москва, стандартное время),14535
