Repository,Date,Stars
apache/spark,Tue Feb 25 2014 12:08:06 GMT+0400 (Москва, стандартное время),0
apache/spark,Sun Oct 25 2015 16:31:04 GMT+0300 (Москва, стандартное время),5130
apache/spark,Mon May 30 2016 07:12:14 GMT+0300 (Москва, стандартное время),7740
apache/spark,Sat Jan 21 2017 15:25:16 GMT+0300 (Москва, стандартное время),10320
apache/spark,Mon Sep 04 2017 02:37:13 GMT+0300 (Москва, стандартное время),12930
apache/spark,Tue Apr 10 2018 14:41:05 GMT+0300 (Москва, стандартное время),15540
apache/spark,Tue Nov 13 2018 10:27:38 GMT+0300 (Москва, стандартное время),18120
apache/spark,Mon May 27 2019 17:03:50 GMT+0300 (Москва, стандартное время),20730
apache/spark,Sun Dec 15 2019 15:26:20 GMT+0300 (Москва, стандартное время),23310
apache/spark,Wed Aug 05 2020 14:34:32 GMT+0300 (Москва, стандартное время),25920
apache/spark,Thu May 06 2021 11:49:57 GMT+0300 (Москва, стандартное время),28530
apache/spark,Fri Feb 04 2022 02:04:52 GMT+0300 (Москва, стандартное время),31110
apache/spark,Wed Nov 16 2022 07:33:25 GMT+0300 (Москва, стандартное время),33720
apache/spark,Fri Sep 08 2023 16:31:49 GMT+0300 (Москва, стандартное время),36300
apache/spark,Sat Jul 13 2024 18:08:48 GMT+0300 (Москва, стандартное время),38910
apache/spark,Mon Jul 15 2024 22:43:38 GMT+0300 (Москва, стандартное время),38941
