Repository,Date,Stars
tensorflow/tensorflow,Mon Nov 09 2015 16:17:30 GMT+0300 (Москва, стандартное время),0
tensorflow/tensorflow,Tue Nov 10 2015 17:21:51 GMT+0300 (Москва, стандартное время),5280
tensorflow/tensorflow,Thu Nov 12 2015 08:43:14 GMT+0300 (Москва, стандартное время),7950
tensorflow/tensorflow,Wed Nov 18 2015 14:35:41 GMT+0300 (Москва, стандартное время),10620
tensorflow/tensorflow,Thu Dec 24 2015 13:00:28 GMT+0300 (Москва, стандартное время),13290
tensorflow/tensorflow,Wed Feb 17 2016 13:01:38 GMT+0300 (Москва, стандартное время),15960
tensorflow/tensorflow,Thu Apr 14 2016 08:40:35 GMT+0300 (Москва, стандартное время),18630
tensorflow/tensorflow,Wed May 18 2016 22:39:25 GMT+0300 (Москва, стандартное время),21270
tensorflow/tensorflow,Thu Jun 30 2016 15:55:53 GMT+0300 (Москва, стандартное время),23940
tensorflow/tensorflow,Fri Aug 19 2016 00:46:25 GMT+0300 (Москва, стандартное время),26610
tensorflow/tensorflow,Sun Oct 02 2016 03:02:02 GMT+0300 (Москва, стандартное время),29280
tensorflow/tensorflow,Fri Nov 04 2016 18:02:41 GMT+0300 (Москва, стандартное время),31950
tensorflow/tensorflow,Thu Dec 08 2016 06:16:46 GMT+0300 (Москва, стандартное время),34620
tensorflow/tensorflow,Fri Jan 06 2017 13:19:12 GMT+0300 (Москва, стандартное время),37290
tensorflow/tensorflow,Wed Feb 08 2017 00:48:14 GMT+0300 (Москва, стандартное время),39960
tensorflow/tensorflow,Fri Jul 19 2024 01:56:28 GMT+0300 (Москва, стандартное время),184146
