Repository,Date,Stars
keras-team/keras,Sat Mar 28 2015 04:25:36 GMT+0300 (Москва, стандартное время),0
keras-team/keras,Mon May 09 2016 18:35:40 GMT+0300 (Москва, стандартное время),5280
keras-team/keras,Thu Oct 20 2016 12:28:39 GMT+0300 (Москва, стандартное время),7950
keras-team/keras,Sat Feb 11 2017 09:34:19 GMT+0300 (Москва, стандартное время),10620
keras-team/keras,Mon Apr 24 2017 15:12:32 GMT+0300 (Москва, стандартное время),13290
keras-team/keras,Sat Jul 22 2017 02:31:19 GMT+0300 (Москва, стандартное время),15960
keras-team/keras,Tue Oct 24 2017 06:48:12 GMT+0300 (Москва, стандартное время),18630
keras-team/keras,Tue Jan 02 2018 05:16:55 GMT+0300 (Москва, стандартное время),21270
keras-team/keras,Wed Mar 07 2018 02:28:59 GMT+0300 (Москва, стандартное время),23940
keras-team/keras,Sat May 12 2018 09:52:15 GMT+0300 (Москва, стандартное время),26610
keras-team/keras,Wed Aug 01 2018 02:41:50 GMT+0300 (Москва, стандартное время),29280
keras-team/keras,Tue Oct 30 2018 16:31:18 GMT+0300 (Москва, стандартное время),31950
keras-team/keras,Thu Jan 24 2019 16:20:43 GMT+0300 (Москва, стандартное время),34620
keras-team/keras,Mon Apr 22 2019 11:48:24 GMT+0300 (Москва, стандартное время),37290
keras-team/keras,Tue Jul 30 2019 18:23:29 GMT+0300 (Москва, стандартное время),39960
keras-team/keras,Fri Jul 19 2024 02:04:51 GMT+0300 (Москва, стандартное время),61338
