Repository,Date,Stars
facebookresearch/faiss,Thu Feb 16 2017 03:52:46 GMT+0300 (Москва, стандартное время),0
facebookresearch/faiss,Fri Jul 13 2018 12:04:23 GMT+0300 (Москва, стандартное время),3870
facebookresearch/faiss,Thu Apr 11 2019 07:45:03 GMT+0300 (Москва, стандартное время),5850
facebookresearch/faiss,Mon Nov 25 2019 08:36:21 GMT+0300 (Москва, стандартное время),7830
facebookresearch/faiss,Mon Jul 06 2020 15:47:50 GMT+0300 (Москва, стандартное время),9810
facebookresearch/faiss,Fri Jan 15 2021 00:45:14 GMT+0300 (Москва, стандартное время),11760
facebookresearch/faiss,Wed Jul 21 2021 12:30:44 GMT+0300 (Москва, стандартное время),13740
facebookresearch/faiss,Thu Jan 27 2022 16:26:17 GMT+0300 (Москва, стандартное время),15720
facebookresearch/faiss,Thu Sep 22 2022 05:55:34 GMT+0300 (Москва, стандартное время),17700
facebookresearch/faiss,Sat Mar 25 2023 03:43:23 GMT+0300 (Москва, стандартное время),19650
facebookresearch/faiss,Tue May 23 2023 10:21:32 GMT+0300 (Москва, стандартное время),21630
facebookresearch/faiss,Sat Aug 12 2023 14:18:22 GMT+0300 (Москва, стандартное время),23610
facebookresearch/faiss,Mon Dec 11 2023 08:05:33 GMT+0300 (Москва, стандартное время),25590
facebookresearch/faiss,Fri Mar 29 2024 12:39:25 GMT+0300 (Москва, стандартное время),27540
facebookresearch/faiss,Tue Jul 16 2024 14:59:25 GMT+0300 (Москва, стандартное время),29520
facebookresearch/faiss,Fri Jul 19 2024 02:04:04 GMT+0300 (Москва, стандартное время),29568
