Repository,Date,Stars
metabase/metabase,Thu Feb 05 2015 05:21:22 GMT+0300 (Москва, стандартное время),0
metabase/metabase,Wed Apr 26 2017 08:17:59 GMT+0300 (Москва, стандартное время),4920
metabase/metabase,Thu Jan 04 2018 14:47:24 GMT+0300 (Москва, стандартное время),7410
metabase/metabase,Mon Jul 23 2018 00:29:41 GMT+0300 (Москва, стандартное время),9900
metabase/metabase,Mon Feb 04 2019 02:11:22 GMT+0300 (Москва, стандартное время),12390
metabase/metabase,Sun Jul 21 2019 15:31:56 GMT+0300 (Москва, стандартное время),14880
metabase/metabase,Sun Dec 22 2019 07:01:34 GMT+0300 (Москва, стандартное время),17370
metabase/metabase,Thu Jun 04 2020 02:55:10 GMT+0300 (Москва, стандартное время),19890
metabase/metabase,Thu Jan 07 2021 23:58:43 GMT+0300 (Москва, стандартное время),22380
metabase/metabase,Wed Aug 25 2021 21:51:40 GMT+0300 (Москва, стандартное время),24870
metabase/metabase,Mon Apr 25 2022 14:03:22 GMT+0300 (Москва, стандартное время),27360
metabase/metabase,Mon Nov 21 2022 21:51:39 GMT+0300 (Москва, стандартное время),29850
metabase/metabase,Tue Jun 27 2023 18:44:15 GMT+0300 (Москва, стандартное время),32340
metabase/metabase,Fri Dec 15 2023 16:20:07 GMT+0300 (Москва, стандартное время),34830
metabase/metabase,Fri Jul 12 2024 10:31:07 GMT+0300 (Москва, стандартное время),37320
metabase/metabase,Mon Jul 15 2024 22:44:21 GMT+0300 (Москва, стандартное время),37353
