Repository,Date,Stars
numpy/numpy,Tue Sep 14 2010 03:02:39 GMT+0400 (Москва, летнее время),0
numpy/numpy,Wed Mar 01 2017 10:54:24 GMT+0300 (Москва, стандартное время),3570
numpy/numpy,Wed Dec 13 2017 10:03:31 GMT+0300 (Москва, стандартное время),5370
numpy/numpy,Sun Jul 29 2018 14:09:57 GMT+0300 (Москва, стандартное время),7170
numpy/numpy,Fri Feb 22 2019 17:32:58 GMT+0300 (Москва, стандартное время),9000
numpy/numpy,Fri Aug 23 2019 14:43:17 GMT+0300 (Москва, стандартное время),10800
numpy/numpy,Tue Apr 14 2020 09:14:08 GMT+0300 (Москва, стандартное время),12600
numpy/numpy,Sat Oct 24 2020 09:57:06 GMT+0300 (Москва, стандартное время),14430
numpy/numpy,Fri Apr 30 2021 00:25:57 GMT+0300 (Москва, стандартное время),16230
numpy/numpy,Sun Nov 14 2021 15:47:13 GMT+0300 (Москва, стандартное время),18030
numpy/numpy,Fri May 27 2022 21:08:27 GMT+0300 (Москва, стандартное время),19860
numpy/numpy,Tue Dec 20 2022 08:55:33 GMT+0300 (Москва, стандартное время),21660
numpy/numpy,Fri Jun 30 2023 18:07:27 GMT+0300 (Москва, стандартное время),23460
numpy/numpy,Tue Jan 23 2024 17:12:21 GMT+0300 (Москва, стандартное время),25290
numpy/numpy,Sat Jul 13 2024 11:20:35 GMT+0300 (Москва, стандартное время),27090
numpy/numpy,Fri Jul 19 2024 02:03:41 GMT+0300 (Москва, стандартное время),27149
