Repository,Date,Stars
postgres/postgres,Tue Sep 21 2010 15:35:45 GMT+0400 (Москва, летнее время),0
postgres/postgres,Thu Jul 14 2016 17:39:40 GMT+0300 (Москва, стандартное время),1980
postgres/postgres,Fri Oct 27 2017 10:57:38 GMT+0300 (Москва, стандартное время),3000
postgres/postgres,Sun Sep 16 2018 02:03:24 GMT+0300 (Москва, стандартное время),4020
postgres/postgres,Wed Jun 05 2019 22:32:02 GMT+0300 (Москва, стандартное время),5040
postgres/postgres,Thu Feb 20 2020 20:01:50 GMT+0300 (Москва, стандартное время),6060
postgres/postgres,Fri Oct 16 2020 05:04:13 GMT+0300 (Москва, стандартное время),7080
postgres/postgres,Sat Jun 12 2021 16:23:33 GMT+0300 (Москва, стандартное время),8130
postgres/postgres,Mon Jan 10 2022 05:20:04 GMT+0300 (Москва, стандартное время),9150
postgres/postgres,Sun Jun 26 2022 22:10:16 GMT+0300 (Москва, стандартное время),10170
postgres/postgres,Wed Dec 14 2022 16:26:18 GMT+0300 (Москва, стандартное время),11190
postgres/postgres,Thu May 25 2023 01:40:27 GMT+0300 (Москва, стандартное время),12210
postgres/postgres,Thu Oct 26 2023 05:02:46 GMT+0300 (Москва, стандартное время),13230
postgres/postgres,Thu Mar 14 2024 08:01:04 GMT+0300 (Москва, стандартное время),14250
postgres/postgres,Fri Jul 12 2024 04:19:27 GMT+0300 (Москва, стандартное время),15270
postgres/postgres,Mon Jul 15 2024 22:47:45 GMT+0300 (Москва, стандартное время),15306
