Repository,Date,Stars
sberbank-ai-lab/LightAutoML,Thu Oct 15 2020 14:11:51 GMT+0300 (Москва, стандартное время),0
sberbank-ai-lab/LightAutoML,Tue Dec 08 2020 03:45:23 GMT+0300 (Москва, стандартное время),60
sberbank-ai-lab/LightAutoML,Sun Dec 13 2020 20:10:16 GMT+0300 (Москва, стандартное время),120
sberbank-ai-lab/LightAutoML,Wed Mar 17 2021 18:42:21 GMT+0300 (Москва, стандартное время),180
sberbank-ai-lab/LightAutoML,Sun Apr 25 2021 14:10:29 GMT+0300 (Москва, стандартное время),240
sberbank-ai-lab/LightAutoML,Thu May 06 2021 16:41:56 GMT+0300 (Москва, стандартное время),300
sberbank-ai-lab/LightAutoML,Thu Jun 10 2021 19:55:56 GMT+0300 (Москва, стандартное время),360
sberbank-ai-lab/LightAutoML,Sun Jul 25 2021 01:25:42 GMT+0300 (Москва, стандартное время),420
sberbank-ai-lab/LightAutoML,Wed Aug 18 2021 16:52:12 GMT+0300 (Москва, стандартное время),480
sberbank-ai-lab/LightAutoML,Wed Sep 22 2021 20:53:04 GMT+0300 (Москва, стандартное время),540
sberbank-ai-lab/LightAutoML,Thu Nov 11 2021 22:22:11 GMT+0300 (Москва, стандартное время),600
sberbank-ai-lab/LightAutoML,Wed Feb 02 2022 17:10:51 GMT+0300 (Москва, стандартное время),660
sberbank-ai-lab/LightAutoML,Wed Mar 23 2022 18:51:56 GMT+0300 (Москва, стандартное время),720
sberbank-ai-lab/LightAutoML,Fri Feb 17 2023 09:23:34 GMT+0300 (Москва, стандартное время),780
sberbank-ai-lab/LightAutoML,Wed Dec 13 2023 17:55:32 GMT+0300 (Москва, стандартное время),840
sberbank-ai-lab/LightAutoML,Mon Jul 15 2024 22:43:16 GMT+0300 (Москва, стандартное время),886
