Repository,Date,Stars
scikit-learn/scikit-learn,Tue Aug 17 2010 13:43:38 GMT+0400 (Москва, летнее время),0
scikit-learn/scikit-learn,Fri May 15 2015 04:25:02 GMT+0300 (Москва, стандартное время),5280
scikit-learn/scikit-learn,Mon Jan 04 2016 13:20:55 GMT+0300 (Москва, стандартное время),7950
scikit-learn/scikit-learn,Fri Jun 24 2016 05:20:42 GMT+0300 (Москва, стандартное время),10620
scikit-learn/scikit-learn,Sun Nov 27 2016 18:34:50 GMT+0300 (Москва, стандартное время),13290
scikit-learn/scikit-learn,Mon Apr 10 2017 05:14:32 GMT+0300 (Москва, стандартное время),15960
scikit-learn/scikit-learn,Mon Aug 21 2017 02:56:01 GMT+0300 (Москва, стандартное время),18630
scikit-learn/scikit-learn,Thu Dec 07 2017 17:32:13 GMT+0300 (Москва, стандартное время),21270
scikit-learn/scikit-learn,Thu Mar 08 2018 11:22:13 GMT+0300 (Москва, стандартное время),23940
scikit-learn/scikit-learn,Fri Jun 29 2018 23:36:37 GMT+0300 (Москва, стандартное время),26610
scikit-learn/scikit-learn,Sat Nov 17 2018 01:01:09 GMT+0300 (Москва, стандартное время),29280
scikit-learn/scikit-learn,Tue Apr 09 2019 05:22:19 GMT+0300 (Москва, стандартное время),31950
scikit-learn/scikit-learn,Sat Sep 07 2019 20:59:01 GMT+0300 (Москва, стандартное время),34620
scikit-learn/scikit-learn,Thu Feb 27 2020 19:13:42 GMT+0300 (Москва, стандартное время),37290
scikit-learn/scikit-learn,Mon Aug 24 2020 02:10:22 GMT+0300 (Москва, стандартное время),39960
scikit-learn/scikit-learn,Fri Jul 19 2024 02:03:15 GMT+0300 (Москва, стандартное время),58937
