Repository,Date,Stars
tarantool/tarantool,Wed Sep 15 2010 11:59:26 GMT+0400 (Москва, летнее время),0
tarantool/tarantool,Tue Mar 17 2015 01:17:47 GMT+0300 (Москва, стандартное время),390
tarantool/tarantool,Thu Dec 31 2015 21:24:21 GMT+0300 (Москва, стандартное время),630
tarantool/tarantool,Thu Apr 21 2016 09:02:21 GMT+0300 (Москва, стандартное время),840
tarantool/tarantool,Sat Oct 22 2016 15:50:44 GMT+0300 (Москва, стандартное время),1080
tarantool/tarantool,Fri Mar 31 2017 20:41:09 GMT+0300 (Москва, стандартное время),1290
tarantool/tarantool,Thu Oct 19 2017 00:03:09 GMT+0300 (Москва, стандартное время),1530
tarantool/tarantool,Wed May 09 2018 16:28:00 GMT+0300 (Москва, стандартное время),1740
tarantool/tarantool,Fri Feb 22 2019 11:58:17 GMT+0300 (Москва, стандартное время),1980
tarantool/tarantool,Fri Jan 03 2020 09:50:42 GMT+0300 (Москва, стандартное время),2190
tarantool/tarantool,Mon Jan 18 2021 04:41:43 GMT+0300 (Москва, стандартное время),2430
tarantool/tarantool,Wed Oct 27 2021 12:13:42 GMT+0300 (Москва, стандартное время),2640
tarantool/tarantool,Fri Jul 29 2022 20:01:32 GMT+0300 (Москва, стандартное время),2880
tarantool/tarantool,Thu Apr 06 2023 21:07:08 GMT+0300 (Москва, стандартное время),3090
tarantool/tarantool,Sun May 05 2024 01:26:39 GMT+0300 (Москва, стандартное время),3330
tarantool/tarantool,Mon Jul 15 2024 22:42:02 GMT+0300 (Москва, стандартное время),3361
