Repository,Date,Stars
Tinkoff/data-detective,Mon Jan 10 2022 19:49:20 GMT+0300 (Москва, стандартное время),1
Tinkoff/data-detective,Mon May 23 2022 11:14:07 GMT+0300 (Москва, стандартное время),4
Tinkoff/data-detective,Sun Jun 26 2022 21:12:43 GMT+0300 (Москва, стандартное время),7
Tinkoff/data-detective,Fri Oct 07 2022 14:43:32 GMT+0300 (Москва, стандартное время),10
Tinkoff/data-detective,Tue Oct 18 2022 11:51:51 GMT+0300 (Москва, стандартное время),13
Tinkoff/data-detective,Thu Nov 03 2022 12:57:33 GMT+0300 (Москва, стандартное время),16
Tinkoff/data-detective,Sun Nov 06 2022 23:10:04 GMT+0300 (Москва, стандартное время),19
Tinkoff/data-detective,Wed Dec 14 2022 16:33:20 GMT+0300 (Москва, стандартное время),22
Tinkoff/data-detective,Tue Jan 10 2023 17:10:24 GMT+0300 (Москва, стандартное время),25
Tinkoff/data-detective,Fri Feb 03 2023 17:01:30 GMT+0300 (Москва, стандартное время),28
Tinkoff/data-detective,Wed Apr 12 2023 14:21:33 GMT+0300 (Москва, стандартное время),31
Tinkoff/data-detective,Thu May 18 2023 12:41:54 GMT+0300 (Москва, стандартное время),34
Tinkoff/data-detective,Sun Jul 09 2023 11:39:08 GMT+0300 (Москва, стандартное время),37
Tinkoff/data-detective,Thu Aug 31 2023 00:01:04 GMT+0300 (Москва, стандартное время),40
Tinkoff/data-detective,Tue Nov 21 2023 10:15:59 GMT+0300 (Москва, стандартное время),43
Tinkoff/data-detective,Mon Feb 26 2024 20:28:19 GMT+0300 (Москва, стандартное время),46
Tinkoff/data-detective,Mon Jul 15 2024 23:12:12 GMT+0300 (Москва, стандартное время),48
