Repository,Date,Stars
yandex/yandex-tank,Mon Jul 23 2012 15:05:58 GMT+0400 (Москва, стандартное время),0
yandex/yandex-tank,Mon Oct 28 2013 10:52:40 GMT+0400 (Москва, стандартное время),270
yandex/yandex-tank,Mon Jun 02 2014 20:22:11 GMT+0400 (Москва, стандартное время),420
yandex/yandex-tank,Mon Apr 20 2015 02:55:45 GMT+0300 (Москва, стандартное время),600
yandex/yandex-tank,Wed Mar 09 2016 01:08:14 GMT+0300 (Москва, стандартное время),750
yandex/yandex-tank,Fri Nov 04 2016 00:40:28 GMT+0300 (Москва, стандартное время),900
yandex/yandex-tank,Mon Jul 31 2017 23:31:13 GMT+0300 (Москва, стандартное время),1080
yandex/yandex-tank,Tue Dec 26 2017 01:39:29 GMT+0300 (Москва, стандартное время),1230
yandex/yandex-tank,Mon Sep 24 2018 22:48:07 GMT+0300 (Москва, стандартное время),1410
yandex/yandex-tank,Sun Apr 14 2019 20:29:14 GMT+0300 (Москва, стандартное время),1560
yandex/yandex-tank,Wed Dec 04 2019 22:10:59 GMT+0300 (Москва, стандартное время),1710
yandex/yandex-tank,Sun Jan 03 2021 17:47:55 GMT+0300 (Москва, стандартное время),1890
yandex/yandex-tank,Sun Nov 14 2021 01:22:08 GMT+0300 (Москва, стандартное время),2040
yandex/yandex-tank,Mon Jan 23 2023 10:36:21 GMT+0300 (Москва, стандартное время),2220
yandex/yandex-tank,Mon Jan 22 2024 01:45:12 GMT+0300 (Москва, стандартное время),2370
yandex/yandex-tank,Mon Jul 15 2024 22:46:52 GMT+0300 (Москва, стандартное время),2426
