Repository,Date,Stars
yandex/YaLM-100B,Thu Jun 23 2022 11:01:44 GMT+0300 (Москва, стандартное время),0
yandex/YaLM-100B,Thu Jun 23 2022 14:28:35 GMT+0300 (Москва, стандартное время),450
yandex/YaLM-100B,Thu Jun 23 2022 16:29:23 GMT+0300 (Москва, стандартное время),690
yandex/YaLM-100B,Thu Jun 23 2022 18:33:41 GMT+0300 (Москва, стандартное время),930
yandex/YaLM-100B,Thu Jun 23 2022 21:52:37 GMT+0300 (Москва, стандартное время),1200
yandex/YaLM-100B,Fri Jun 24 2022 05:28:59 GMT+0300 (Москва, стандартное время),1440
yandex/YaLM-100B,Fri Jun 24 2022 12:41:02 GMT+0300 (Москва, стандартное время),1680
yandex/YaLM-100B,Fri Jun 24 2022 23:09:44 GMT+0300 (Москва, стандартное время),1950
yandex/YaLM-100B,Sun Jun 26 2022 01:44:57 GMT+0300 (Москва, стандартное время),2190
yandex/YaLM-100B,Mon Jun 27 2022 18:54:17 GMT+0300 (Москва, стандартное время),2430
yandex/YaLM-100B,Mon Jul 04 2022 12:34:00 GMT+0300 (Москва, стандартное время),2700
yandex/YaLM-100B,Fri Sep 09 2022 09:51:53 GMT+0300 (Москва, стандартное время),2940
yandex/YaLM-100B,Fri Feb 10 2023 12:15:38 GMT+0300 (Москва, стандартное время),3180
yandex/YaLM-100B,Sat May 20 2023 09:10:13 GMT+0300 (Москва, стандартное время),3450
yandex/YaLM-100B,Tue Mar 05 2024 07:48:57 GMT+0300 (Москва, стандартное время),3690
yandex/YaLM-100B,Mon Jul 15 2024 22:46:15 GMT+0300 (Москва, стандартное время),3728
